2025-05-27T11:34:03.095749 - New user added
2025-05-27T11:34:19.303879 - User accepted by admin
2025-05-27T11:34:23.228912 - Web activity reported
2025-05-27T11:34:23.349958 - Activity updated
User Logs:
  PID: 2258, Name: ibus-extension-gtk3, CPU: 0.0%, Memory: 0.20566677007639297%
  PID: 2260, Name: ibus-x11, CPU: 0.0%, Memory: 0.0767736364407583%
  PID: 2269, Name: ibus-portal, CPU: 0.0%, Memory: 0.04385998737688168%
  PID: 2296, Name: gjs, CPU: 0.0%, Memory: 0.17944531420842175%
  PID: 2324, Name: tracker-miner-fs-3, CPU: 0.0%, Memory: 0.18471945903196058%
  PID: 2326, Name: xdg-desktop-portal-gnome, CPU: 0.0%, Memory: 0.7729358751062603%
  PID: 2359, Name: gvfs-udisks2-volume-monitor, CPU: 0.0%, Memory: 0.07037997974429851%
  PID: 2368, Name: goa-daemon, CPU: 0.0%, Memory: 0.1566072720008339%
  PID: 2377, Name: gvfs-gphoto2-volume-monitor, CPU: 0.0%, Memory: 0.04530291379086872%
  PID: 2387, Name: goa-identity-service, CPU: 0.0%, Memory: 0.05597559364604866%
  PID: 2400, Name: evolution-calendar-factory, CPU: 0.0%, Memory: 0.15934385657908517%
  PID: 2405, Name: gvfs-mtp-volume-monitor, CPU: 0.0%, Memory: 0.041844866005623926%
  PID: 2415, Name: gvfs-afc-volume-monitor, CPU: 0.0%, Memory: 0.05333852123427926%
  PID: 2432, Name: evolution-addressbook-factory, CPU: 0.0%, Memory: 0.1865355560702546%
  PID: 2439, Name: gvfs-goa-volume-monitor, CPU: 0.0%, Memory: 0.03975511050950478%
  PID: 2472, Name: ibus-engine-simple, CPU: 0.0%, Memory: 0.04637266958054875%
  PID: 2519, Name: xdg-desktop-portal-gtk, CPU: 0.0%, Memory: 0.17499214475835834%
  PID: 2523, Name: gvfsd-trash, CPU: 0.0%, Memory: 0.05386096010830904%
  PID: 2543, Name: gvfsd-recent, CPU: 0.0%, Memory: 0.0597570559723595%
  PID: 2657, Name: gvfsd-metadata, CPU: 0.0%, Memory: 0.041546329506178335%
  PID: 3439, Name: gvfsd-network, CPU: 0.0%, Memory: 0.05333852123427926%
  PID: 3447, Name: gvfsd-dnssd, CPU: 0.0%, Memory: 0.05386096010830904%
  PID: 3453, Name: gvfsd-wsdd, CPU: 0.0%, Memory: 0.05781656872596314%
  PID: 3458, Name: python3, CPU: 0.0%, Memory: 0.21031896385942014%
  PID: 6389, Name: gvfsd-http, CPU: 0.0%, Memory: 0.05721949572707197%
  PID: 7847, Name: irq/190-mei_me, CPU: 0.0%, Memory: 0.0%
  PID: 7848, Name: nvidia, CPU: 0.0%, Memory: 0.0%
  PID: 7932, Name: gjs, CPU: 0.0%, Memory: 0.42175743959176126%
  PID: 8476, Name: code, CPU: 0.0%, Memory: 1.315451328723764%
  PID: 8480, Name: code, CPU: 0.0%, Memory: 0.303561863852927%
  PID: 8481, Name: code, CPU: 0.0%, Memory: 0.30296479085403577%
  PID: 8483, Name: code, CPU: 0.0%, Memory: 0.07630095364996943%
  PID: 8503, Name: chrome_crashpad_handler, CPU: 0.0%, Memory: 0.01893218967317468%
  PID: 8521, Name: code, CPU: 0.0%, Memory: 0.9999231268513927%
  PID: 8524, Name: code, CPU: 0.0%, Memory: 0.44713304204463666%
  PID: 8567, Name: code, CPU: 0.0%, Memory: 3.620401884859945%
  PID: 8607, Name: code, CPU: 0.0%, Memory: 0.712656380259871%
  PID: 8620, Name: code, CPU: 0.0%, Memory: 4.851566408573571%
  PID: 8637, Name: code, CPU: 0.0%, Memory: 0.8991173022052643%
  PID: 8638, Name: code, CPU: 0.0%, Memory: 0.7671641694503123%
  PID: 8968, Name: pet, CPU: 0.0%, Memory: 0.02875901611325878%
  PID: 9192, Name: code, CPU: 0.0%, Memory: 0.9563865540155772%
  PID: 9193, Name: code, CPU: 0.0%, Memory: 0.6066261668734446%
  PID: 9210, Name: zsh, CPU: 0.0%, Memory: 0.03500340455999576%
  PID: 9384, Name: code, CPU: 0.0%, Memory: 0.5094027802206633%
  PID: 9462, Name: code, CPU: 0.0%, Memory: 4.786112281070124%
  PID: 9463, Name: python, CPU: 0.0%, Memory: 0.29617308549164856%
